Title,R_hst_SIG_STR._attempted,R_hst_SIG_STR._succeeded,R_hst_TOTAL_STR._attempted,R_hst_TOTAL_STR._succeeded,R_hst_TD_attempted,R_hst_TD_succeeded,R_hst_HEAD_attempted,R_hst_HEAD_succeeded,R_hst_BODY_attempted,R_hst_BODY_succeeded,R_hst_LEG_attempted,R_hst_LEG_succeeded,R_hst_DISTANCE_attempted,R_hst_DISTANCE_succeeded,R_hst_CLINCH_attempted,R_hst_CLINCH_succeeded,R_hst_GROUND_attempted,R_hst_GROUND_succeeded,R_hst_KD,R_hst_SIG_STR_pct,R_hst_TD_pct,R_hst_SUB_ATT,R_hst_PASS,R_hst_REV,B_hst_SIG_STR._attempted,B_hst_SIG_STR._succeeded,B_hst_TOTAL_STR._attempted,B_hst_TOTAL_STR._succeeded,B_hst_TD_attempted,B_hst_TD_succeeded,B_hst_HEAD_attempted,B_hst_HEAD_succeeded,B_hst_BODY_attempted,B_hst_BODY_succeeded,B_hst_LEG_attempted,B_hst_LEG_succeeded,B_hst_DISTANCE_attempted,B_hst_DISTANCE_succeeded,B_hst_CLINCH_attempted,B_hst_CLINCH_succeeded,B_hst_GROUND_attempted,B_hst_GROUND_succeeded,B_hst_KD,B_hst_SIG_STR_pct,B_hst_TD_pct,B_hst_SUB_ATT,B_hst_PASS,B_hst_REV,R_Height(cm),R_Reach(cm),B_Height(cm),B_Reach(cm),R_age,B_age,R_experience,B_experience,R_title_experience,B_title_experience,R_KO,B_KO,R_sub,B_sub,R_winning,B_winning,R_title_winning,B_title_winning,red_won,new_weight_class,In_NA,fight_ID
True,101.4,44.0,129.9,69.1,5.3,1.9,74.2,23.9,21.9,16.4,5.3,3.7,75.0,26.5,17.0,11.0,9.4,6.5,0.4,0.466,0.45799999999999996,0.1,1.2,0.0,65.4,22.6,66.4,23.6,0.8,0.2,48.6,11.2,9.2,6.0,7.6,5.4,62.6,20.6,0.2,0.0,2.6,2.0,0.8,0.466,0.1,0.4,0.4,0.0,162.56,166.0318,167.64,171.3912,32.0,31.0,10,5,3,0,0.2,0.4,0.0,0.2,0.8,0.8,0.6666666666666666,0.0,True,Light,False,0
True,115.85714285714286,59.42857142857143,161.57142857142858,102.85714285714286,5.142857142857143,2.4285714285714284,84.57142857142857,37.0,12.0,7.7142857142857135,19.285714285714285,14.714285714285715,88.14285714285714,36.142857142857146,9.285714285714286,6.857142857142858,18.428571428571427,16.428571428571427,0.0,0.5757142857142857,0.6014285714285714,0.42857142857142855,1.7142857142857142,0.14285714285714285,138.9,51.3,158.7,69.6,1.0,0.5,112.0,32.0,14.6,9.1,12.3,10.2,124.7,42.1,11.8,7.3,2.4,1.9,0.0,0.39899999999999997,0.225,0.7,0.8,0.0,165.1,168.7115,167.64,171.3912,31.0,33.0,7,10,2,0,0.0,0.1,0.2857142857142857,0.0,0.7142857142857143,0.4,0.5,0.0,True,Light,False,1
False,124.33333333333331,55.46666666666667,133.0,63.4,0.9333333333333332,0.4,96.73333333333332,35.6,13.866666666666667,8.666666666666666,13.733333333333333,11.2,116.13333333333334,49.46666666666667,2.8666666666666667,1.7333333333333334,5.333333333333333,4.266666666666667,0.2,0.4300000000000001,0.2773333333333333,1.0,0.3333333333333333,0.13333333333333333,97.0,46.774193548387096,103.70967741935483,52.548387096774185,2.161290322580645,0.6774193548387096,67.64516129032258,23.258064516129032,15.35483870967742,11.32258064516129,14.0,12.193548387096774,84.74193548387096,38.58064516129032,6.741935483870968,4.387096774193549,5.516129032258066,3.806451612903226,0.6451612903225806,0.4961290322580645,0.2954838709677419,0.3548387096774194,0.935483870967742,0.0967741935483871,180.34,184.7897,185.42,190.1491,35.0,36.0,15,31,2,1,0.26666666666666666,0.3225806451612903,0.4,0.1935483870967742,0.9333333333333332,0.7419354838709677,1.0,0.0,True,Middle,False,2
False,111.75,45.75,117.375,50.75,2.25,0.625,80.5,24.0,18.25,10.25,13.0,11.5,104.875,41.0,5.875,4.125,1.0,0.625,0.375,0.36625,0.10375,0.0,0.125,0.0,136.25,70.25,154.75,86.75,2.5,1.25,116.25,53.75,17.0,14.0,3.0,2.5,109.5,48.75,13.75,11.0,13.0,10.5,0.5,0.55,0.2875,0.25,0.5,0.25,162.56,166.0318,170.18,174.0709,30.0,26.0,8,4,0,0,0.125,0.5,0.0,0.0,0.75,1.0,0.0,0.0,False,Light,False,3
False,62.25,32.5,63.5,32.75,0.5,0.0,50.75,22.75,7.75,6.75,3.75,3.0,50.75,24.75,11.0,7.25,0.5,0.5,0.5,0.545,0.0,0.0,0.25,0.0,203.5,61.5,204.0,62.0,0.0,0.0,184.5,45.0,17.0,14.5,2.0,2.0,201.0,59.5,2.5,2.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,187.96,192.8288,180.34,184.7897,26.0,33.0,4,2,0,0,0.5,0.0,0.0,0.0,0.75,0.5,0.0,0.0,False,Heavy,False,4
False,58.0,42.75,101.5,80.5,5.5,4.5,44.75,31.25,8.75,7.5,4.5,4.0,12.75,4.75,3.0,2.25,42.25,35.75,0.0,0.6375000000000001,0.8175000000000001,0.5,7.75,0.0,160.16666666666666,75.16666666666667,183.5,95.66666666666669,0.8333333333333334,0.3333333333333333,117.83333333333331,42.66666666666666,19.5,12.333333333333336,22.83333333333333,20.166666666666668,142.33333333333334,63.83333333333334,11.833333333333336,7.166666666666668,6.0,4.166666666666667,0.0,0.47,0.25,0.6666666666666666,1.3333333333333333,0.16666666666666666,165.1,168.7115,165.1,168.7115,28.0,34.0,4,6,1,0,0.25,0.0,0.5,0.16666666666666666,1.0,0.6666666666666666,1.0,0.0,True,Heavy,False,5
False,102.66666666666669,52.25,138.33333333333334,85.75,5.333333333333333,1.75,63.0,23.33333333333333,25.16666666666667,18.25,14.5,10.666666666666666,72.58333333333333,29.41666666666667,14.0,11.083333333333336,16.083333333333332,11.75,0.0,0.49,0.4175,0.75,1.5,0.08333333333333333,96.08333333333331,41.5,102.66666666666669,47.5,2.75,0.5833333333333334,66.58333333333333,24.0,15.0,7.416666666666668,14.5,10.083333333333334,84.91666666666667,34.666666666666664,6.083333333333332,3.4166666666666665,5.083333333333333,3.4166666666666665,0.4166666666666667,0.4991666666666667,0.2333333333333333,0.6666666666666666,0.5833333333333334,0.08333333333333333,170.18,174.0709,167.64,171.3912,30.0,33.0,12,12,0,0,0.08333333333333333,0.25,0.25,0.25,0.75,0.6666666666666666,0.0,0.0,True,Light,False,6
False,187.11111111111111,73.55555555555556,211.22222222222226,95.0,0.7777777777777778,0.1111111111111111,149.0,46.77777777777778,25.222222222222218,17.555555555555557,12.888888888888891,9.222222222222221,155.77777777777774,49.77777777777778,27.555555555555557,20.777777777777782,3.7777777777777777,3.0,0.0,0.3800000000000001,0.05555555555555555,0.0,0.7777777777777778,0.1111111111111111,126.25,53.75,165.5,87.5,0.5,0.25,94.25,29.75,16.25,11.0,15.75,13.0,105.75,40.0,17.5,11.25,3.0,2.5,0.0,0.5025,0.125,0.25,0.25,0.25,160.02,163.3521,165.1,168.7115,34.0,26.0,9,4,1,0,0.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.0,0.0,False,Heavy,False,7
False,68.4,32.266666666666666,80.0,43.53333333333333,3.733333333333333,1.0666666666666669,45.93333333333333,15.266666666666667,8.333333333333334,6.7333333333333325,14.133333333333333,10.266666666666667,54.26666666666666,21.2,7.2,6.4,6.933333333333334,4.666666666666667,0.13333333333333333,0.478,0.3013333333333333,0.6666666666666666,0.6666666666666666,0.4,135.5,56.25,139.25,59.0,1.5,0.5,122.25,46.5,7.25,4.75,6.0,5.0,125.0,50.75,1.75,0.5,8.75,5.0,0.5,0.42,0.165,0.0,0.0,0.0,172.72,176.7506,180.34,184.7897,37.0,31.0,15,4,1,0,0.26666666666666666,0.5,0.2,0.0,0.6666666666666666,0.75,0.0,0.0,False,Light,False,8
False,256.3333333333333,105.66666666666669,260.6666666666667,109.0,0.3333333333333333,0.0,213.66666666666663,79.0,9.333333333333334,5.333333333333333,33.333333333333336,21.33333333333333,244.33333333333331,97.66666666666669,10.666666666666666,7.333333333333332,1.3333333333333333,0.6666666666666666,0.0,0.4033333333333333,0.0,0.0,0.0,0.0,146.2,74.3,159.0,85.8,0.8,0.3,108.3,45.3,25.4,17.9,12.5,11.1,121.1,55.6,22.5,16.8,2.6,1.9,0.2,0.48,0.25,0.0,0.1,0.1,165.1,168.7115,160.02,163.3521,30.0,34.0,3,10,0,0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,True,Heavy,False,9
False,157.0,68.0,168.0,77.0,0.0,0.0,100.0,27.0,9.0,4.0,48.0,37.0,139.0,56.0,18.0,12.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,55.28571428571429,24.142857142857146,65.14285714285714,32.42857142857143,2.4285714285714284,1.0,45.57142857142857,17.428571428571427,5.428571428571429,4.142857142857143,4.285714285714286,2.571428571428572,37.857142857142854,11.714285714285715,12.285714285714285,9.142857142857142,5.142857142857143,3.2857142857142856,0.2857142857142857,0.4542857142857142,0.2414285714285714,0.0,0.2857142857142857,0.0,190.5,195.5085,182.88,187.4694,28.0,28.0,1,7,0,0,0.0,0.2857142857142857,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,False,Middle,False,10
False,127.75,35.75,130.75,38.75,0.8333333333333334,0.16666666666666666,112.66666666666669,27.08333333333333,12.75,6.666666666666668,2.333333333333333,2.0,119.75,31.0,2.6666666666666665,1.75,5.333333333333333,3.0,0.5,0.25666666666666665,0.11083333333333334,0.0,0.25,0.0,70.55588586931603,30.824706213216235,93.1269888094418,50.94745572594137,2.8180124816085743,1.1930096767495029,55.765000996942156,19.914248875944942,8.743984239992063,6.120867645110407,6.046900632381956,4.789589692161012,53.495955577659,19.452799796000438,8.286175608511261,5.588339783167825,8.773754683145835,5.783566634048096,0.24653580809714054,0.4553116379242431,0.31351521567356494,0.5464886708046596,1.2805336816080617,0.16895080363328738,170.18,174.0709,170.18,174.0709,35.0,35.0,12,0,1,0,0.3333333333333333,0.2052718511710134,0.0,0.1349417132899068,0.4166666666666667,0.5863407051563648,0.0,0.0,True,Light,False,11
False,197.0,61.16666666666666,210.33333333333331,73.33333333333333,2.1666666666666665,0.0,162.16666666666666,37.16666666666666,22.16666666666667,13.333333333333336,12.666666666666664,10.666666666666666,188.33333333333331,55.33333333333334,6.5,4.166666666666667,2.1666666666666665,1.6666666666666667,0.16666666666666666,0.295,0.0,0.16666666666666666,0.0,0.0,121.875,61.375,162.25,95.625,2.125,1.125,75.0,29.0,21.875,13.0,25.0,19.375,96.75,44.75,14.875,10.25,10.25,6.375,0.375,0.5362499999999999,0.26,0.5,1.25,0.25,175.26,179.4303,167.64,171.3912,30.0,33.0,6,8,0,0,0.0,0.125,0.0,0.125,0.6666666666666666,0.625,0.0,0.0,True,Light,False,12
False,111.13333333333334,44.2,129.46666666666667,60.6,3.0,1.2,92.2,32.266666666666666,11.933333333333335,6.6,7.0,5.333333333333333,94.46666666666668,33.06666666666667,7.0,3.933333333333333,9.666666666666666,7.2,0.6,0.38466666666666666,0.3033333333333333,0.3333333333333333,1.1333333333333333,0.0,66.63636363636364,33.18181818181818,71.45454545454545,37.63636363636363,1.2727272727272727,0.3636363636363637,53.36363636363637,23.272727272727273,9.272727272727273,6.1818181818181825,4.0,3.727272727272727,57.18181818181818,25.90909090909091,6.8181818181818175,5.2727272727272725,2.636363636363636,2.0,0.4545454545454545,0.5072727272727273,0.09636363636363636,0.3636363636363637,0.4545454545454545,0.18181818181818185,195.58,200.8679,193.04,198.1882,32.0,31.0,15,11,3,1,0.3333333333333333,0.4545454545454545,0.13333333333333333,0.09090909090909093,0.6666666666666666,0.6363636363636364,0.0,0.0,False,Heavy,False,13
False,48.18181818181818,26.09090909090909,53.27272727272727,30.54545454545455,1.4545454545454546,0.2727272727272727,29.63636363636364,10.727272727272727,9.454545454545457,7.272727272727272,9.090909090909092,8.090909090909092,36.09090909090909,16.181818181818183,11.272727272727273,9.454545454545457,0.8181818181818182,0.4545454545454545,0.2727272727272727,0.5372727272727272,0.09090909090909093,0.18181818181818185,0.09090909090909093,0.0,113.0,60.33333333333334,181.0,123.66666666666669,1.6666666666666667,1.0,86.66666666666669,40.66666666666666,10.333333333333334,8.333333333333334,16.0,11.333333333333336,68.33333333333333,26.33333333333333,6.666666666666668,4.666666666666667,38.0,29.33333333333333,0.6666666666666666,0.5666666666666667,0.25,0.0,1.3333333333333333,0.0,185.42,190.1491,193.04,198.1882,39.0,27.0,11,3,0,0,0.4545454545454545,0.3333333333333333,0.0,0.0,0.5454545454545454,1.0,0.0,0.0,False,Heavy,False,14
False,33.0,16.4,43.4,24.8,5.0,2.4,31.2,15.4,1.6,0.8,0.2,0.2,19.8,7.6,0.2,0.0,13.0,8.8,0.2,0.4560000000000001,0.5,1.0,3.2,0.8,53.5,17.0,57.0,19.5,6.0,3.0,46.5,13.5,2.5,1.0,4.5,2.5,45.5,13.5,5.0,2.5,3.0,1.0,0.0,0.345,0.5,1.0,2.5,0.0,177.8,182.11,172.72,176.7506,31.0,27.0,5,2,0,0,0.2,0.0,0.2,0.5,0.8,0.5,0.0,0.0,True,Light,False,15
False,72.4,34.8,87.0,47.6,0.8,0.4,60.2,24.4,9.0,7.2,3.2,3.2,60.0,25.4,3.6,3.2,8.8,6.2,0.4,0.4980000000000001,0.132,0.2,0.6,0.0,60.2,19.8,76.0,33.4,3.0,1.2,52.2,14.8,7.0,4.2,1.0,0.8,42.8,11.0,4.6,2.6,12.8,6.2,0.0,0.342,0.3,0.2,1.0,0.4,175.26,179.4303,177.8,182.11,33.0,29.0,5,5,0,0,0.4,0.0,0.0,0.2,0.6,0.4,0.0,0.0,False,Middle,False,16
False,88.0,41.0,98.0,49.33333333333334,1.6666666666666667,0.3333333333333333,58.33333333333334,21.0,6.0,5.0,23.66666666666667,15.0,71.66666666666667,29.33333333333333,9.666666666666666,6.333333333333332,6.666666666666668,5.333333333333333,0.0,0.4666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,70.55588586931603,30.824706213216235,93.1269888094418,50.94745572594137,2.8180124816085743,1.1930096767495029,55.765000996942156,19.914248875944942,8.743984239992063,6.120867645110407,6.046900632381956,4.789589692161012,53.495955577659,19.452799796000438,8.286175608511261,5.588339783167825,8.773754683145835,5.783566634048096,0.24653580809714054,0.4553116379242431,0.31351521567356494,0.5464886708046596,1.2805336816080617,0.16895080363328738,165.1,168.7115,182.88,187.4694,31.0,27.0,3,0,0,0,0.0,0.2052718511710134,0.0,0.1349417132899068,0.0,0.5863407051563648,0.0,0.0,True,Light,False,17
